,ItemNumber FG,Work Order,Cause,ItemNumber INT,Rejected Pounds,Process Date,Run
243,50000327,WO21002512,Finished good not in breakout,0,40000.0,2021-03-27,1
244,50000622,WO21002520,Finished good not in breakout,0,82080.0,2021-03-27,1
245,50008965,WO21002549,Finished good not in breakout,0,100800.0,2021-03-27,1
246,50000724,WO21002613,Finished good not in breakout,0,14000.0,2021-03-27,1
247,50004122,WO21002632,Finished good not in breakout,0,192000.0,2021-03-27,1
248,50005279,WO21002637,Finished good not in breakout,0,150150.0,2021-03-27,1
249,50005295,WO21002638,Finished good not in breakout,0,8064.0,2021-03-27,1
250,50000483,WO21001493,At least one component has no extrusion rate,30002094,38400.0,2021-03-27,1
251,50000550,WO21001505,At least one component has no extrusion rate,30002277,15321.851999999999,2021-03-27,1
252,50006166,WO21001838,At least one component has no extrusion rate,30001906,10080.0,2021-03-27,1
253,50006125,WO21001935,At least one component has no extrusion rate,30002221,38880.0,2021-03-27,1
254,50006114,WO21001939,At least one component has no extrusion rate,30002226,14760.0,2021-03-27,1
255,50006128,WO21001943,At least one component has no extrusion rate,30002116,80460.0,2021-03-27,1
256,50006108,WO21001946,At least one component has no extrusion rate,30002240,16000.0,2021-03-27,1
257,50006109,WO21001950,At least one component has no extrusion rate,30002241,20000.0,2021-03-27,1
258,50006132,WO21001951,At least one component has no extrusion rate,30002240,6372.0,2021-03-27,1
259,50008083,WO21001980,At least one component has no extrusion rate,30002283,8640.0,2021-03-27,1
260,50006001,WO21000996,At least one component has no extrusion rate,30002063,10000.0,2021-03-27,1
261,50006108,WO21001055,At least one component has no extrusion rate,30002240,16320.0,2021-03-27,1
262,50006114,WO21001058,At least one component has no extrusion rate,30002226,28620.0,2021-03-27,1
263,50006125,WO21001062,At least one component has no extrusion rate,30002221,29700.0,2021-03-27,1
264,50006126,WO21001063,At least one component has no extrusion rate,30002220,27600.0,2021-03-27,1
265,50006128,WO21001064,At least one component has no extrusion rate,30002116,215640.0,2021-03-27,1
266,50006166,WO21001078,At least one component has no extrusion rate,30001906,8400.0,2021-03-27,1
267,50008054,WO21001180,At least one component has no extrusion rate,30002013,4761.63545,2021-03-27,1
268,50008083,WO21001199,At least one component has no extrusion rate,30002283,9600.0,2021-03-27,1
269,50008232,WO21001334,At least one component has no extrusion rate,30002681,2520.0,2021-03-27,1
270,50008232,WO21001335,At least one component has no extrusion rate,30002681,9000.0,2021-03-27,1
271,50008232,WO21001336,At least one component has no extrusion rate,30002681,5400.0,2021-03-27,1
272,50000769,WO21002066,At least one component has no extrusion rate,30002114,26399.934,2021-03-27,1
273,50000771,WO21002067,At least one component has no extrusion rate,30002177,28500.0,2021-03-27,1
274,50000772,WO21002068,At least one component has no extrusion rate,30002177,106068.00600000001,2021-03-27,1
275,50000483,WO21002078,At least one component has no extrusion rate,30002094,105600.0,2021-03-27,1
276,50006166,WO21002120,At least one component has no extrusion rate,30001906,8400.0,2021-03-27,1
277,50006677,WO21002201,At least one component has no extrusion rate,30002053,4488.0,2021-03-27,1
278,50006678,WO21002202,At least one component has no extrusion rate,30002053,5274.884999999999,2021-03-27,1
279,50006108,WO21002245,At least one component has no extrusion rate,30002240,67840.0,2021-03-27,1
280,50006126,WO21002286,At least one component has no extrusion rate,30002220,27600.0,2021-03-27,1
281,50006504,WO21002408,At least one component has no extrusion rate,30002484,46080.0,2021-03-27,1
282,50006311,WO21002459,At least one component has no extrusion rate,30002377,81600.0,2021-03-27,1
283,50008320,WO21002496,At least one component has no extrusion rate,30000568,4000.0,2021-03-27,1
284,50008320,WO21002496,At least one component has no extrusion rate,30000569,8000.0,2021-03-27,1
285,50008320,WO21002496,At least one component has no extrusion rate,30000571,8000.0,2021-03-27,1
286,50000768,WO21002497,At least one component has no extrusion rate,30002114,7000.0,2021-03-27,1
287,50000323,WO21002508,At least one component has no extrusion rate,30002139,2000.0,2021-03-27,1
288,50007946,WO20000009,Finished good has no packing rate,30000278,54000.0,2021-03-27,1
289,50007946,WO21001175,Finished good has no packing rate,30000278,82000.0,2021-03-27,1
290,50007946,WO21001176,Finished good has no packing rate,30000278,22000.0,2021-03-27,1
291,50006238,WO21002519,Finished good has no packing rate,30000411,1344.0,2021-03-27,1
292,50006238,WO21002519,Finished good has no packing rate,30000516,25536.0,2021-03-27,1
