,WorkOrderNumber,Facility,OrderStatus,ItemNumber,PlannedQuantity,CompletedQuantity,PlannedStart,PlannedEnd,PONumber,Description,CategoryCode,ItemWeight,Demand quantity (pounds),ItemFacility,BalesPerPallet,in_breakout,Model plant,_merge,is_able
3223,SON21008966,20005,1,50008203,1700.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF WH QUAIL DOG 24#,FG,24.0,40800.0,20005,40.0,True,PC,both,False
3224,SON21008966,20005,1,50008205,8000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH WOLF KING BISON DOG 24#,FG,24.0,192000.0,20005,40.0,True,PC,both,False
3225,SON21008966,20005,1,50008207,100.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH WOLF CUB BISON PUPPY 6/4#,FG,24.0,2400.0,20005,36.0,True,PC,both,False
3226,SON21008966,20005,1,50008208,4400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH WOLF CUB BISON PUPPY 24#,FG,24.0,105600.0,20005,40.0,True,PC,both,False
3227,SON21008966,20005,1,50008209,1200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF IND MOON CKN CAT 6/3#,FG,18.0,21600.0,20005,36.0,True,PC,both,False
3228,SON21008966,20005,1,50008210,800.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF IND MOON CKN CAT 6/6#,FG,36.0,28800.0,20005,24.0,True,PC,both,False
3229,SON21008966,20005,1,50008211,7000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF IND MOON CKN CAT 12#,FG,12.0,84000.0,20005,88.0,True,PC,both,False
3230,SON21008966,20005,1,50008214,2000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF WT QUAIL CAT 6/6#,FG,36.0,72000.0,20005,24.0,True,PC,both,False
3231,SON21008966,20005,1,50008216,300.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF FAAF POLLOCK CAT 6/3#,FG,18.0,5400.0,20005,36.0,True,PC,both,False
3232,SON21008966,20005,1,50008217,400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF FAAF POLLOCK CAT 6/6#,FG,36.0,14400.0,20005,24.0,True,PC,both,False
3233,SON21008966,20005,1,50008218,2400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF FAAF POLLOCK CAT 12#,FG,12.0,28800.0,20005,88.0,True,PC,both,False
3234,SON21008966,20005,1,50008222,600.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR CKN CAT 6/3#,FG,18.0,10800.0,20005,36.0,True,PC,both,False
3235,SON21008966,20005,1,50008223,400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR CKN CAT 6/6#,FG,36.0,14400.0,20005,24.0,True,PC,both,False
3236,SON21008966,20005,1,50008224,3600.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR CKN CAT 12#,FG,12.0,43200.0,20005,88.0,True,PC,both,False
3237,SON21008966,20005,1,50008225,500.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR SALM CAT 6/3#,FG,18.0,9000.0,20005,36.0,True,PC,both,False
3238,SON21008966,20005,1,50008226,800.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR SALM CAT 6/6#,FG,36.0,28800.0,20005,24.0,True,PC,both,False
3239,SON21008966,20005,1,50008227,1500.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF LSI INDR SALM CAT 12#,FG,12.0,18000.0,20005,88.0,True,PC,both,False
3240,SON21008966,20005,1,50008228,1400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH KNF LAMB CAT 6/4#,FG,24.0,33600.0,20005,36.0,True,PC,both,False
3241,SON21008966,20005,1,50008229,4500.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH KNF LAMB CAT 12#,FG,12.0,54000.0,20005,88.0,True,PC,both,False
3242,SON21008966,20005,1,50009045,700.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH NB KNF LAMB CAT 6/4#,FG,24.0,16800.0,20005,36.0,True,PC,both,False
3243,SON21008966,20005,1,50009046,4200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH NB KNF LAMB CAT 11#,FG,11.0,46200.0,20005,96.0,True,PC,both,False
3244,SON21008966,20005,1,50008231,1400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF IM POLLOCK CAT 6/3#,FG,18.0,25200.0,20005,36.0,True,PC,both,False
3245,SON21008966,20005,1,50008232,450.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF IM POLLOCK CAT 6/6#,FG,36.0,16200.0,20005,24.0,True,PC,both,False
3252,SON21008966,20005,1,50008156,150.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH HB OATMEAL SR DOG 6/4#,FG,24.0,3600.0,20005,36.0,True,PC,both,False
3253,SON21008966,20005,1,50008158,1800.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH HB OATMEAL SR DOG 28.5#,FG,28.5,51300.0,20005,40.0,True,PC,both,False
