ID,Description,Flour_Code,Type,Shape,Diameter_Category,Dry_Digest_Code,Dry_Digest_Description,Liq_Digest_Code,Liq_Digest_Description,TSS_Concat,DLD_Concat,Buyable,Minimum_Run_Size,Diameter
M1129OS,MEAT MDM DUCK APP CAR CRA BL,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20961,ATI SKIN SUPPORT DOG BULK,F1011,MEATLESS,DISC,MAX 10.50,0,0,0,0,MEATLESS - DISC - MAX 10.50,0 - 0,FALSE,20000.0,0
EM1138OS,MEAT PORK KIDNEY,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1138B,MEAT PORK KIDNEY,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
20962,ATI KIDNEY SUPPORT DOG BULK,F10967,BOAR/PORK,DISC,MAX 10.50,0,0,0,0,BOAR/PORK - DISC - MAX 10.50,0 - 0,FALSE,20000.0,0
EM1092B,MEAT SALM TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1139B,EMUL TRKY CHKN BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
20964,BBC BAS LID GF MAT TKY CAT BUL,F6877,POULTRY,CYLINDER,MAX 8.00,0,0,0,0,POULTRY - CYLINDER - MAX 8.00,0 - 0,FALSE,40000.0,0
20966,BBC BS LID GF IND DUCK CAT BLK,F6873,DUCK,CYLINDER,MAX 8.00,0,0,0,0,DUCK - CYLINDER - MAX 8.00,0 - 0,FALSE,40000.0,0
20967,BBC BS LID GF IND FISH CAT BLK,F6871,FISH,CYLINDER,MAX 8.00,0,0,0,0,FISH - CYLINDER - MAX 8.00,0 - 0,FALSE,40000.0,0
EM1143B,MEAT CHICKEN TROUT BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1046B,MEAT MDM CKN DUCK VEG BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1144OS,MEAT MDM CKN WH FSH BLND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1145OS,MEAT MDM SALM WH FISH,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1146OS,MEAT MDM TRT DUCK BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1148OS,MEAT MDM DUCK WH FISH BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20936B,BBC BAS LID GF TRKY CAT WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1149OS,MEAT TRKY WH FSH BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
3244,HPN 50# IB KTN CKN & BR,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
3247HPN,HPN 50# FEL ADT CKN&BR,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
3246,HPN 50# IB FEL MA CKN&BR,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
3245,HPN 50# IB FEL ADT NOG CKN&POT,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
EM1136,MEAT BBC MDM RABT CHKN BLN,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1131B,MEAT MDM NVI LAMB GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
21003,ATI REGIME LARGE KIB BULK,F10968,MEATLESS,DISC,MAX 13.00,0,0,0,0,MEATLESS - DISC - MAX 13.00,0 - 0,FALSE,0.0,0
M1120OS,MEAT EMUL SALMON GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1154B,MEAT EMUL SALM TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1155B,MEAT TRKY TROUT BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1156B,MEAT WH FSH TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1157B,MEAT TROUT TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
21027,PAW GF SR WT MGMT TKY DOG BULK,F1405,POULTRY,DISC,MAX 10.00,0,0,0,0,POULTRY - DISC - MAX 10.00,0 - 0,FALSE,20000.0,0
