Item_Code,Diet_Code,Location,Work_Center,Date,Version,Account,Measure,Entity,Bulk_Code
109110,DIET22289,20,206020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109110,DIET22289,20,206220,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109110,DIET22289,30,306020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109110,DIET22289,40,406020,2200-12-31,Actual,Rate,7000.0,CJ_Foods,NONE
109111,DIET22289,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109111,DIET22289,20,205720,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109111,DIET22289,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109111,DIET22289,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109111,DIET22289,40,404920,2200-12-31,Actual,Rate,7000.0,CJ_Foods,NONE
109112,DIET22289,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109112,DIET22289,20,205720,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109112,DIET22289,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109112,DIET22289,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109112,DIET22289,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109113,DIET22841,10,104620,2200-12-31,Actual,Rate,1920.0,CJ_Foods,NONE
109113,DIET22841,20,206020,2200-12-31,Actual,Rate,8100.0,CJ_Foods,NONE
109113,DIET22841,20,206220,2200-12-31,Actual,Rate,2520.0,CJ_Foods,NONE
109113,DIET22841,30,306020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109113,DIET22841,40,406020,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109114,DIET22841,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109114,DIET22841,20,205720,2200-12-31,Actual,Rate,3180.0,CJ_Foods,NONE
109114,DIET22841,20,206120,2200-12-31,Actual,Rate,4680.0,CJ_Foods,NONE
109114,DIET22841,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109114,DIET22841,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109115,DIET22841,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109115,DIET22841,20,205720,2200-12-31,Actual,Rate,18180.0,CJ_Foods,NONE
109115,DIET22841,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109115,DIET22841,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109115,DIET22841,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109116,DIET22835,10,104620,2200-12-31,Actual,Rate,1920.0,CJ_Foods,NONE
109116,DIET22835,20,206020,2200-12-31,Actual,Rate,9480.0,CJ_Foods,NONE
109116,DIET22835,20,206220,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109116,DIET22835,30,306020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109116,DIET22835,40,406020,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109117,DIET22835,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109117,DIET22835,20,205720,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109117,DIET22835,20,206120,2200-12-31,Actual,Rate,4740.0,CJ_Foods,NONE
109117,DIET22835,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109117,DIET22835,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109118,DIET22835,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109118,DIET22835,20,205720,2200-12-31,Actual,Rate,16140.0,CJ_Foods,NONE
109118,DIET22835,20,206120,2200-12-31,Actual,Rate,6480.0,CJ_Foods,NONE
109118,DIET22835,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
109118,DIET22835,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109119,DIET22284,30,306020,2200-12-31,Actual,Rate,3540.0,CJ_Foods,NONE
109119,DIET22284,40,406020,2200-12-31,Actual,Rate,6480.0,CJ_Foods,NONE
109120,DIET22284,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
